Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,4.0160,0.0343,0.2000,1.0000,0.0000,1.0000,0.03,110528
20,3.4872,0.0557,0.2615,1.0000,0.0000,1.0000,0.03,110528
30,3.0500,0.0934,0.2846,0.9923,0.0000,0.9000,0.03,110528
40,2.6933,0.1359,0.3538,0.9846,0.0000,0.8000,0.03,110528
50,2.3841,0.1697,0.4231,0.9769,0.0000,0.7000,0.03,110528
60,2.1055,0.1992,0.4846,0.9769,0.0000,0.7000,0.03,110528
70,1.8563,0.2399,0.5000,0.9769,0.0000,0.7000,0.03,110528
80,1.6303,0.2923,0.5692,0.9692,0.0000,0.7000,0.03,110528
90,1.4293,0.3426,0.6231,0.9385,0.0000,0.5000,0.03,110528
100,1.2527,0.3872,0.6538,0.9385,0.0000,0.5000,0.03,110528
110,1.0886,0.4300,0.6923,0.9231,0.0000,0.4000,0.03,110528
120,0.9328,0.4751,0.7692,0.8769,0.1000,0.1000,0.03,110528
130,0.7836,0.5205,0.8077,0.8462,0.1000,0.0000,0.03,110528
140,0.6426,0.5706,0.8615,0.8231,0.1000,0.0000,0.03,110528
150,0.5210,0.6234,0.9154,0.7846,0.5000,0.0000,0.03,110528
160,0.4250,0.6756,0.9538,0.7769,0.5000,0.0000,0.03,110528
170,0.3509,0.7239,0.9615,0.7538,0.6000,0.0000,0.03,110528
180,0.2935,0.7666,0.9615,0.7538,0.6000,0.0000,0.03,110528
190,0.2480,0.8011,0.9769,0.7462,0.7000,0.0000,0.03,110528
200,0.2118,0.8327,0.9846,0.7385,0.8000,0.0000,0.03,110528
210,0.1827,0.8628,0.9846,0.7308,0.8000,0.0000,0.03,110528
220,0.1589,0.8950,0.9846,0.7077,0.8000,0.0000,0.03,110528
230,0.1391,0.9281,0.9923,0.7000,0.9000,0.0000,0.03,110528
240,0.1225,0.9593,0.9923,0.7000,0.9000,0.0000,0.03,110528
250,0.1086,0.9888,0.9923,0.7000,0.9000,0.0000,0.02,110528
260,0.0970,1.0170,0.9923,0.6923,0.9000,0.0000,0.02,110528
270,0.0873,1.0423,1.0000,0.6923,1.0000,0.0000,0.03,110528
280,0.0789,1.0652,1.0000,0.6769,1.0000,0.0000,0.02,110528
290,0.0718,1.0860,1.0000,0.6692,1.0000,0.0000,0.02,110528
300,0.0656,1.1044,1.0000,0.6692,1.0000,0.0000,0.03,110528
310,0.0603,1.1213,1.0000,0.6692,1.0000,0.0000,0.03,110528
320,0.0558,1.1370,1.0000,0.6692,1.0000,0.0000,0.03,110528
330,0.0518,1.1523,1.0000,0.6615,1.0000,0.0000,0.03,110528
340,0.0484,1.1666,1.0000,0.6615,1.0000,0.0000,0.03,110528
350,0.0453,1.1798,1.0000,0.6538,1.0000,0.0000,0.03,110528
360,0.0426,1.1921,1.0000,0.6538,1.0000,0.0000,0.03,110528
370,0.0403,1.2035,1.0000,0.6538,1.0000,0.0000,0.02,110528
380,0.0381,1.2140,1.0000,0.6538,1.0000,0.0000,0.03,110528
390,0.0362,1.2239,1.0000,0.6538,1.0000,0.0000,0.03,110528
400,0.0344,1.2332,1.0000,0.6538,1.0000,0.0000,0.02,110528
410,0.0328,1.2420,1.0000,0.6538,1.0000,0.0000,0.03,110528
420,0.0313,1.2501,1.0000,0.6538,1.0000,0.0000,0.03,110528
430,0.0300,1.2576,1.0000,0.6538,1.0000,0.0000,0.02,110528
440,0.0287,1.2648,1.0000,0.6538,1.0000,0.0000,0.03,110528
450,0.0276,1.2715,1.0000,0.6538,1.0000,0.0000,0.02,110528
460,0.0265,1.2780,1.0000,0.6538,1.0000,0.0000,0.02,110528
470,0.0255,1.2843,1.0000,0.6538,1.0000,0.0000,0.03,110528
480,0.0246,1.2904,1.0000,0.6538,1.0000,0.0000,0.03,110528
490,0.0237,1.2964,1.0000,0.6538,1.0000,0.0000,0.03,110528
500,0.0229,1.3022,1.0000,0.6538,1.0000,0.0000,0.03,110528
