Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,3.6355,0.0501,0.2615,1.0000,0.0000,1.0000,0.03,110528
20,2.8985,0.1254,0.3231,0.9846,0.0000,0.8000,0.02,110528
30,2.3787,0.2060,0.4231,0.9769,0.0000,0.7000,0.04,110528
40,1.9471,0.2579,0.5000,0.9769,0.0000,0.7000,0.04,110528
50,1.5924,0.3438,0.5692,0.9692,0.0000,0.7000,0.04,110528
60,1.3032,0.4345,0.6385,0.9231,0.0000,0.4000,0.04,110528
70,1.0529,0.5080,0.7154,0.8846,0.0000,0.1000,0.04,110528
80,0.8170,0.5855,0.8077,0.8231,0.1000,0.0000,0.03,110528
90,0.5959,0.6694,0.8769,0.7846,0.2000,0.0000,0.04,110528
100,0.4215,0.7582,0.9538,0.7692,0.5000,0.0000,0.04,110528
110,0.3058,0.8442,0.9692,0.7462,0.7000,0.0000,0.04,110528
120,0.2284,0.9097,0.9846,0.7154,0.8000,0.0000,0.04,110528
130,0.1754,0.9593,0.9846,0.6923,0.8000,0.0000,0.04,110528
140,0.1378,1.0100,0.9923,0.6769,0.9000,0.0000,0.04,110528
150,0.1103,1.0624,0.9923,0.6538,0.9000,0.0000,0.04,110528
160,0.0904,1.1115,1.0000,0.6462,1.0000,0.0000,0.04,110528
170,0.0756,1.1535,1.0000,0.6385,1.0000,0.0000,0.04,110528
180,0.0644,1.1897,1.0000,0.6538,1.0000,0.0000,0.04,110528
190,0.0558,1.2195,1.0000,0.6538,1.0000,0.0000,0.04,110528
200,0.0492,1.2457,1.0000,0.6538,1.0000,0.0000,0.03,110528
210,0.0439,1.2693,1.0000,0.6538,1.0000,0.0000,0.03,110528
220,0.0397,1.2903,1.0000,0.6462,1.0000,0.0000,0.04,110528
230,0.0362,1.3094,1.0000,0.6385,1.0000,0.0000,0.05,110528
240,0.0333,1.3261,1.0000,0.6385,1.0000,0.0000,0.15,110528
250,0.0308,1.3407,1.0000,0.6385,1.0000,0.0000,0.03,110528
260,0.0286,1.3539,1.0000,0.6385,1.0000,0.0000,0.02,110528
270,0.0267,1.3665,1.0000,0.6385,1.0000,0.0000,0.03,110528
280,0.0251,1.3784,1.0000,0.6385,1.0000,0.0000,0.03,110528
290,0.0236,1.3894,1.0000,0.6385,1.0000,0.0000,0.03,110528
300,0.0223,1.3995,1.0000,0.6385,1.0000,0.0000,0.03,110528
310,0.0211,1.4091,1.0000,0.6385,1.0000,0.0000,0.04,110528
320,0.0200,1.4181,1.0000,0.6385,1.0000,0.0000,0.04,110528
330,0.0191,1.4266,1.0000,0.6385,1.0000,0.0000,0.04,110528
340,0.0182,1.4346,1.0000,0.6308,1.0000,0.0000,0.04,110528
350,0.0173,1.4421,1.0000,0.6308,1.0000,0.0000,0.02,110528
360,0.0166,1.4493,1.0000,0.6308,1.0000,0.0000,0.02,110528
370,0.0159,1.4563,1.0000,0.6308,1.0000,0.0000,0.02,110528
380,0.0153,1.4633,1.0000,0.6308,1.0000,0.0000,0.03,110528
390,0.0147,1.4701,1.0000,0.6308,1.0000,0.0000,0.03,110528
400,0.0141,1.4768,1.0000,0.6308,1.0000,0.0000,0.03,110528
410,0.0136,1.4830,1.0000,0.6308,1.0000,0.0000,0.04,110528
420,0.0131,1.4890,1.0000,0.6308,1.0000,0.0000,0.04,110528
430,0.0126,1.4947,1.0000,0.6308,1.0000,0.0000,0.04,110528
440,0.0122,1.5004,1.0000,0.6385,1.0000,0.0000,0.04,110528
450,0.0118,1.5058,1.0000,0.6308,1.0000,0.0000,0.04,110528
460,0.0114,1.5110,1.0000,0.6308,1.0000,0.0000,0.04,110528
470,0.0111,1.5162,1.0000,0.6308,1.0000,0.0000,0.03,110528
480,0.0107,1.5212,1.0000,0.6231,1.0000,0.0000,0.03,110528
490,0.0104,1.5261,1.0000,0.6154,1.0000,0.0000,0.03,110528
500,0.0101,1.5308,1.0000,0.6000,1.0000,0.0000,0.03,110528
