Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,0.4941,2.8058,0.9308,0.2077,0.2000,0.0000,0.02,110528
20,0.0222,4.0842,1.0000,0.2692,1.0000,0.0000,0.02,110528
30,0.0034,5.1513,1.0000,0.2692,1.0000,0.0000,0.02,110528
40,0.0014,5.6369,1.0000,0.2615,1.0000,0.0000,0.02,110528
50,0.0009,5.7746,1.0000,0.2385,1.0000,0.0000,0.03,110528
60,0.0007,5.7865,1.0000,0.2308,1.0000,0.0000,0.02,110528
70,0.0007,5.7550,1.0000,0.2231,1.0000,0.0000,0.02,110528
80,0.0007,5.7093,1.0000,0.2231,1.0000,0.0000,0.04,110528
90,0.0008,5.6630,1.0000,0.2154,1.0000,0.0000,0.03,110528
100,0.0008,5.6223,1.0000,0.2231,1.0000,0.0000,0.04,110528
