Epoch,Train Loss,Val Loss,Train Token Acc,Val Token Acc,Train Seq Acc,Val Seq Acc,Training Time (sec),Param Count
10,4.0160,0.0343,0.2000,1.0000,0.0000,1.0000,0.01,110528
20,3.4872,0.0557,0.2615,1.0000,0.0000,1.0000,0.01,110528
30,3.0500,0.0934,0.2846,0.9923,0.0000,0.9000,0.01,110528
40,2.6933,0.1359,0.3538,0.9846,0.0000,0.8000,0.01,110528
50,2.3841,0.1697,0.4231,0.9769,0.0000,0.7000,0.02,110528
60,2.1055,0.1992,0.4846,0.9769,0.0000,0.7000,0.01,110528
70,1.8563,0.2399,0.5000,0.9769,0.0000,0.7000,0.02,110528
80,1.6303,0.2923,0.5692,0.9692,0.0000,0.7000,0.01,110528
90,1.4293,0.3426,0.6231,0.9385,0.0000,0.5000,0.03,110528
100,1.2527,0.3872,0.6538,0.9385,0.0000,0.5000,0.03,110528
